"Story","Title","Result","Date","Stability","Duration (s)"
"Iniciar sesion en la pagina de mysticalcut","Completar el formulario de iniciar sesion","SUCCESS","2025-05-28T16:19:17.2126244-05:00[America/Bogota]","0.0","5.71"
"Agendar una cita, elegir el servicio, barbero, dia hora","Agendar una cita","SUCCESS","2025-06-05T11:28:29.7226952-05:00[America/Bogota]","0.0","9.9"
"Ver una cita","Ver la cita qye se quiere cancelar","SUCCESS","2025-06-05T11:48:52.8340984-05:00[America/Bogota]","0.0","8.04"
"Ver una cita","Ver un servicio","SUCCESS","2025-05-30T20:22:26.8681626-05:00[America/Bogota]","0.0","7.96"
