"Story","Title","Result","Date","Stability","Duration (s)"
"Ver una cita","Ver la cita qye se quiere cancelar","SUCCESS","2025-06-05T11:48:52.8340984-05:00[America/Bogota]","0.0","8.04"
"Ver una cita","Ver un servicio","SUCCESS","2025-05-30T20:22:26.8681626-05:00[America/Bogota]","0.0","7.96"
