"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticacion en la pagina de Facebook","Verificar la autenticacion correcta en la pagina de Facebook","SUCCESS","2025-05-30T19:10:47.338149-05:00[America/Bogota]","0.0","10.22"
"Autenticacion en la pagina de Facebook","Verificar la autenticacion exitosa en la pagina de Facebook","PENDING","2025-05-19T19:20:02.0158769-05:00[America/Bogota]","0.0","0.07"
